absenter,reabsent
elasticin,inelastic
forminate,taeniform
gladdener,regladden
leatherer,releather
lightener,relighten
performer,reperform
maintainer,remaintain
astonisher,reastonish
complainer,recomplain
contracter,recontract
floodwater,waterflood
headmaster,streamhead
headstream,streamhead
instructer,reinstruct
ascertainer,reascertain
ethological,lethologica
provisioner,reprovision
obtainer,reobtain
amacrine,cinerama
anointer,reanoint
antacrid,cardiant
antacrid,radicant
mateship,shipmate
arabinic,carabini
resinate,teresina
assorter,reassort
betrayer,rebetray
canterer,recanter
directer,redirect
centered,decenter
centerer,recenter
colleter,recollet
listener,relisten
grateman,mangrate
grateman,mentagra
mangrate,targeman
insister,reinsist
inventer,reinvent
rootworm,wormroot
actioner,reaction
creationism,miscreation
